Year,Month,Month name,Metropolitan train,Metropolitan tram,Metropolitan bus,Regional train,Regional coach,Regional bus,,,,,,,
"2018,1,January,""16,809,932"",""15,231,368"",""7,568,547"",""1,466,256"",""116,568"",""721,229"",,,,,,,"
"2018,2,February,""19,554,477"",""16,980,925"",""10,487,311"",""1,522,981"",""103,197"",""1,118,494"",,,,,,,"
"2018,3,March,""22,659,010"",""19,832,126"",""11,528,895"",""1,809,774"",""117,180"",""1,224,816"",,,,,,,"
"2018,4,April,""20,312,040"",""16,919,872"",""9,592,750"",""1,684,827"",""107,480"",""946,218"",,,,,,,"
"2018,5,May,""22,768,447"",""17,691,427"",""11,263,486"",""1,790,656"",""109,456"",""1,258,704"",,,,,,,"
"2018,6,June,""19,284,755"",""15,836,171"",""9,526,795"",""1,535,636"",""101,215"",""1,077,970"",,,,,,,"
"2018,7,July,""20,732,099"",""17,169,239"",""9,657,327"",""1,799,245"",""109,103"",""967,622"",,,,,,,"
"2018,8,August,""22,566,766"",""18,415,592"",""11,756,706"",""1,845,673"",""110,348"",""1,261,319"",,,,,,,"
"2018,9,September,""20,056,487"",""15,892,774"",""9,878,596"",""1,676,490"",""104,525"",""1,033,758"",,,,,,,"
"2018,10,October,""22,299,761"",""18,677,490"",""11,233,979"",""1,872,410"",""121,267"",""1,232,418"",,,,,,,"
"2018,11,November,""20,806,123"",""17,398,998"",""10,367,915"",""1,755,492"",""111,699"",""1,182,863"",,,,,,,"
"2018,12,December,""16,665,365"",""15,404,107"",""7,941,245"",""1,534,399"",""113,023"",""878,944"",,,,,,,"
"2019,1,January,""17,074,623"",""15,695,535"",""7,845,144"",""1,532,342"",""110,708"",""748,369"",,,,,,,"
"2019,2,February,""20,011,823"",""16,485,000"",""10,105,546"",""1,676,391"",""103,886"",""1,201,991"",,,,,,,"
"2019,3,March,""22,250,796"",""19,456,794"",""11,775,566"",""1,916,630"",""112,302"",""1,232,933"",,,,,,,"
"2019,4,April,""18,579,825"",""17,400,302"",""9,667,587"",""1,722,745"",""111,012"",""961,318"",,,,,,,"
"2019,5,May,""23,045,436"",""18,410,816"",""12,082,141"",""2,007,166"",""111,604"",""1,287,180"",,,,,,,"
